Mstar,MetalBudget
1246580.7290702101, 0.8424200692083216
2215271.5498070065, 0.26939086771917387
11244658.173019253, 0.4983916663183232
141426511.04122037, 0.7401750189911505
207853812.76066077, 0.6713108172674902
239217679.9058658, 0.5742042467888322
1790348948.225536, 0.48875207720748426
2215338822.193388, 0.6133292479670861
2238874106.5811024, 0.6946522035099543
3651013611.189926, 0.7810167562667153
19443309731.3804, 0.6300233410883402
26052673179.728638, 0.8695853359847674
55807561071.96094, 0.9994189191971888
126969470253.98965, 0.9175677386864698
